id,year,fall,name,name_type,mass,latitude,longitude,type
5511,1878-01-01T00:00:00.000,Fell,Dandapur,Valid,5650,26.916670,83.966670,Point
5513,1868-01-01T00:00:00.000,Fell,Daniel's Kuil,Valid,1064,-28.200000,24.566670,Point
5514,1868-01-01T00:00:00.000,Fell,Danville,Valid,2000,34.400000,-87.066670,Point
6603,1804-01-01T00:00:00.000,Fell,Darmstadt,Valid,100,49.866670,8.650000,Point
6604,1998-01-01T00:00:00.000,Fell,Dashoguz,Valid,7000,41.984440,59.685000,Point
51559,2008-01-01T00:00:00.000,Fell,Daule,Valid,6580,-1.870890,-79.957560,Point
6621,1887-01-01T00:00:00.000,Fell,De Cewsville,Valid,340,43.000000,-80.000000,Point
6634,1829-01-01T00:00:00.000,Fell,Deal,Valid,28,40.250000,-74.000000,Point
6642,1897-01-01T00:00:00.000,Fell,Delhi,Valid,0.8,28.566670,77.250000,Point
6649,1911-01-01T00:00:00.000,Fell,Demina,Valid,16400,51.466670,84.766670,Point
6660,1967-01-01T00:00:00.000,Fell,Denver,Valid,230,39.782500,-104.930560,Point
6664,2001-01-01T00:00:00.000,Fell,Dergaon,Valid,12500,26.683330,93.866670,Point
6693,1962-01-01T00:00:00.000,Fell,Desuri,Valid,25400,25.733330,73.616670,Point
6694,2001-01-01T00:00:00.000,Fell,Devgaon,Valid,12000,19.000000,81.000000,Point
6696,1994-01-01T00:00:00.000,Fell,Devri-Khera,Valid,1140,24.225000,76.525000,Point
6698,1976-01-01T00:00:00.000,Fell,Dhajala,Valid,45000,22.377780,71.427220,Point
6699,1848-01-01T00:00:00.000,Fell,Dharwar,Valid,1800,14.883330,75.600000,Point
7640,1860-01-01T00:00:00.000,Fell,Dhurmsala,Valid,32000,32.233330,76.466670,Point
47350,2007-01-01T00:00:00.000,Fell,Didim,Valid,3396,37.351720,27.329970,Point
7642,1906-01-01T00:00:00.000,Fell,Diep River,Valid,1000,-33.750000,18.566670,Point
7649,1957-01-01T00:00:00.000,Fell,Distrito Quebracho,Valid,400,-31.883330,-60.466670,Point
7652,1884-01-01T00:00:00.000,Fell,Djati-Pengilon,Valid,166000,-7.500000,111.500000,Point
7656,1961-01-01T00:00:00.000,Fell,Djermaia,Valid,3950,12.733330,15.050000,Point
7657,1999-01-01T00:00:00.000,Fell,Djoumine,Valid,10000,36.950000,9.550000,Point
7658,1903-01-01T00:00:00.000,Fell,Dokachi,Valid,3840,23.500000,90.333330,Point
7659,1864-01-01T00:00:00.000,Fell,Dolgovoli,Valid,1600,50.750000,25.300000,Point
7661,1907-01-01T00:00:00.000,Fell,Domanitch,Valid,438,40.000000,29.000000,Point
7706,1995-01-01T00:00:00.000,Fell,Dong Ujimqin Qi,Valid,128800,45.500000,119.033330,Point
7707,1899-01-01T00:00:00.000,Fell,Donga Kohrod,Valid,230,21.866670,82.450000,Point
7708,1970-01-01T00:00:00.000,Fell,Dongtai,Valid,5500,32.916670,120.783330,Point
7718,1805-01-01T00:00:00.000,Fell,Doroninsk,Valid,3891,51.200000,112.300000,Point
7722,1962-01-01T00:00:00.000,Fell,Dosso,Valid,1250,13.050000,3.166670,Point
7723,1932-01-01T00:00:00.000,Fell,Douar Mghila,Valid,1161,32.333330,-6.300000,Point
7725,1976-01-01T00:00:00.000,Fell,Dowa,Valid,642,-13.666670,33.916670,Point
7728,1827-01-01T00:00:00.000,Fell,Drake Creek,Valid,5000,36.400000,-86.500000,Point
7731,1939-01-01T00:00:00.000,Fell,Dresden (Ontario),Valid,47700,42.520000,-82.260000,Point
7736,1951-01-01T00:00:00.000,Fell,Dubrovnik,Valid,1900,42.458330,18.441670,Point
7743,1999-01-01T00:00:00.000,Fell,Dunbogan,Valid,30,-31.666670,152.833330,Point
7745,1865-01-01T00:00:00.000,Fell,Dundrum,Valid,2270,52.550000,-8.033330,Point
7749,1976-01-01T00:00:00.000,Fell,Dunhua,Valid,,43.333330,128.250000,Point
7750,1815-01-01T00:00:00.000,Fell,Durala,Valid,13200,30.300000,76.633330,Point
7752,1853-01-01T00:00:00.000,Fell,Duruma,Valid,577,-4.000000,39.500000,Point
7754,1943-01-01T00:00:00.000,Fell,Duwun,Valid,2117,33.433330,127.266670,Point
7755,1970-01-01T00:00:00.000,Fell,Dwaleni,Valid,3230,-27.200000,31.316670,Point
7757,1872-01-01T00:00:00.000,Fell,Dyalpur,Valid,300,26.250000,82.000000,Point
7758,1933-01-01T00:00:00.000,Fell,Dyarrl Island,Valid,188,-3.000000,151.000000,Point
7760,1947-01-01T00:00:00.000,Fell,Eagle,Valid,10000,40.781670,-96.471670,Point
7774,1961-01-01T00:00:00.000,Fell,Ehole,Valid,2400,-17.300000,15.833330,Point
7775,1785-01-01T00:00:00.000,Fell,Eichstädt,Valid,3000,48.900000,11.216670,Point
7776,1939-01-01T00:00:00.000,Fell,Ekeby,Valid,3336,56.033330,13.000000,Point
7777,1916-01-01T00:00:00.000,Fell,Ekh Khera,Valid,840,28.266670,78.783330,Point
7807,1989-01-01T00:00:00.000,Fell,El Idrissia,Valid,10000,34.416670,3.250000,Point
45977,1977-01-01T00:00:00.000,Fell,El Paso de Aguila,Valid,17226,25.370000,-97.370000,Point
7819,1993-01-01T00:00:00.000,Fell,El Tigre,Valid,5000,19.967220,-103.051670,Point
7822,1998-01-01T00:00:00.000,Fell,Elbert,Valid,680.5,39.246670,-104.588170,Point
7823,1400-01-01T00:00:00.000,Fell,Elbogen,Valid,107000,50.183330,12.733330,Point
7824,1951-01-01T00:00:00.000,Fell,Elenovka,Valid,54640,47.833330,37.666670,Point
10019,1925-01-01T00:00:00.000,Fell,Ellemeet,Valid,1470,51.750000,4.000000,Point
10033,1900-01-01T00:00:00.000,Fell,Emmaville,Valid,127,-29.466670,151.616670,Point
10038,1974-01-01T00:00:00.000,Fell,Enshi,Valid,8000,30.300000,109.500000,Point
10039,1492-01-01T00:00:00.000,Fell,Ensisheim,Valid,127000,47.866670,7.350000,Point
10041,1822-01-01T00:00:00.000,Fell,Épinal,Valid,277,48.183330,6.466670,Point
10042,1940-01-01T00:00:00.000,Fell,Erakot,Valid,113,19.033330,81.891670,Point
